EPOCH	TIMESTAMP	BAD_EPOCHS	LEARNING_RATE	TRAIN_LOSS	DEV_LOSS	DEV_PRECISION	DEV_RECALL	DEV_F1
1	05:39:43	0	0.1000	9.99698199396548	5.395751953125	0.8056	0.1859	0.3021
2	05:39:54	0	0.1000	5.068909603616466	3.7161755561828613	0.6439	0.5449	0.5903
3	05:40:04	0	0.1000	4.042200959247092	3.1134839057922363	0.7364	0.6090	0.6667
4	05:40:15	1	0.1000	3.535173395405645	2.9538779258728027	0.7802	0.4551	0.5749
5	05:40:21	0	0.1000	3.3772589745728867	3.087730884552002	0.6449	0.8846	0.7459
6	05:40:32	0	0.1000	3.3009535644365395	2.6872496604919434	0.7317	0.7692	0.7500
7	05:40:43	1	0.1000	2.8743583689565244	2.7048585414886475	0.8333	0.4808	0.6098
8	05:40:49	0	0.1000	2.8778539636860723	2.459933280944824	0.6984	0.8462	0.7652
9	05:41:00	1	0.1000	2.5964461461357446	2.5288567543029785	0.8191	0.4936	0.6160
10	05:41:06	0	0.1000	2.5935686256574546	2.106947898864746	0.7651	0.8141	0.7888
11	05:41:17	1	0.1000	2.3691488919050796	2.1538662910461426	0.7834	0.7885	0.7859
12	05:41:24	0	0.1000	2.321188185525977	2.223433494567871	0.7351	0.8718	0.7977
13	05:41:34	1	0.1000	2.2987486124038696	2.1805286407470703	0.7196	0.8718	0.7884
14	05:41:41	2	0.1000	2.2032630961874258	2.1350769996643066	0.7971	0.7051	0.7483
15	05:41:48	3	0.1000	2.2526340691939644	1.95393705368042	0.7669	0.8013	0.7837
16	05:41:54	0	0.1000	1.9256208305773528	1.9650219678878784	0.7904	0.8462	0.8173
17	05:42:05	1	0.1000	1.9410642696463543	1.9530932903289795	0.7751	0.8397	0.8062
18	05:42:12	2	0.1000	2.039407921874005	2.2455735206604004	0.8411	0.5769	0.6844
19	05:42:19	3	0.1000	1.9827345609664917	2.150578498840332	0.7312	0.8718	0.7953
20	05:42:25	4	0.1000	1.7721950800522515	2.0434327125549316	0.7840	0.8141	0.7987
21	05:42:32	1	0.0500	1.658362678859545	2.075129985809326	0.7444	0.8590	0.7976
22	05:42:38	2	0.0500	1.5800935962925786	2.006521224975586	0.7692	0.8333	0.8000
23	05:42:44	3	0.0500	1.5677863437196482	1.9323076009750366	0.7818	0.8269	0.8037
24	05:42:51	4	0.0500	1.5180066046507463	2.219982385635376	0.8254	0.6667	0.7376
25	05:42:58	1	0.0250	1.3553525313087131	1.9710736274719238	0.7647	0.8333	0.7975
26	05:43:04	2	0.0250	1.4811880536701367	1.9719645977020264	0.7647	0.8333	0.7975
27	05:43:11	3	0.0250	1.4010372939317122	1.9666823148727417	0.7679	0.8269	0.7963
28	05:43:18	4	0.0250	1.4100766726162122	2.0047688484191895	0.7572	0.8397	0.7964
29	05:43:24	1	0.0125	1.3929022757903389	1.95192551612854	0.7711	0.8205	0.7950
30	05:43:31	2	0.0125	1.4008680219235627	1.945572853088379	0.7679	0.8269	0.7963
31	05:43:37	3	0.0125	1.300183513890142	1.9847053289413452	0.7692	0.8333	0.8000
32	05:43:44	4	0.0125	1.3385771357494851	1.9655345678329468	0.7679	0.8269	0.7963
33	05:43:50	1	0.0063	1.3501625216525535	1.9777559041976929	0.7692	0.8333	0.8000
34	05:43:56	2	0.0063	1.308680041976597	1.9728507995605469	0.7692	0.8333	0.8000
35	05:44:03	3	0.0063	1.3586607756822005	1.9832299947738647	0.7647	0.8333	0.7975
36	05:44:09	4	0.0063	1.2825750164363696	1.9691569805145264	0.7679	0.8269	0.7963
37	05:44:16	1	0.0031	1.2970501132633374	1.9768331050872803	0.7692	0.8333	0.8000
38	05:44:22	2	0.0031	1.3739542753800102	1.971834659576416	0.7679	0.8269	0.7963
39	05:44:28	3	0.0031	1.3066191932429438	1.9799174070358276	0.7692	0.8333	0.8000
40	05:44:34	4	0.0031	1.2198564487954844	1.9725704193115234	0.7679	0.8269	0.7963
41	05:44:41	1	0.0016	1.2549025494119395	1.9746026992797852	0.7679	0.8269	0.7963
42	05:44:47	2	0.0016	1.2894583370374597	1.9800546169281006	0.7647	0.8333	0.7975
43	05:44:54	3	0.0016	1.3299125018327131	1.9806995391845703	0.7647	0.8333	0.7975
44	05:45:00	4	0.0016	1.299302577972412	1.9834359884262085	0.7692	0.8333	0.8000
45	05:45:07	1	0.0008	1.2788516257120215	1.9809513092041016	0.7692	0.8333	0.8000
46	05:45:14	2	0.0008	1.31311383454696	1.9799164533615112	0.7692	0.8333	0.8000
47	05:45:20	3	0.0008	1.2202622657236846	1.9783649444580078	0.7692	0.8333	0.8000
48	05:45:27	4	0.0008	1.2762903752534285	1.9798076152801514	0.7692	0.8333	0.8000
49	05:45:33	1	0.0004	1.348838666211004	1.978582739830017	0.7679	0.8269	0.7963
50	05:45:39	2	0.0004	1.2832936255828193	1.9794868230819702	0.7679	0.8269	0.7963
51	05:45:46	3	0.0004	1.2682519943817803	1.9793304204940796	0.7692	0.8333	0.8000
52	05:45:53	4	0.0004	1.3103497183841208	1.9779434204101562	0.7679	0.8269	0.7963
53	05:45:59	1	0.0002	1.3456267533094988	1.9784438610076904	0.7679	0.8269	0.7963
54	05:46:05	2	0.0002	1.2714970422827678	1.9780406951904297	0.7679	0.8269	0.7963
55	05:46:11	3	0.0002	1.313452062399491	1.9781668186187744	0.7679	0.8269	0.7963
56	05:46:18	4	0.0002	1.286430986031242	1.9784307479858398	0.7679	0.8269	0.7963